genero,artista_nombre,artista_id,imagen_artista,cancion_nombre,cancion_id,duracion_ms,es_explicito,imagen_album
pop,Shakira,0EmeFodog0BfCgMzAIvKQp,https://i.scdn.co/image/ab6761610000e5eb17f15f351cba70561ad8bcac,TQG,0DWdj2oZMBFSzRsi2Cvfzf,197933,True,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
pop,Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,https://i.scdn.co/image/ab6761610000e5ebce436c411ab2436c7ab2c04d,COQUETA,1PREzVLuDT6PSE9sej4wnV,241648,False,https://i.scdn.co/image/ab67616d0000b27304874856f3c501181d060128
pop,Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,https://i.scdn.co/image/ab6761610000e5ebce436c411ab2436c7ab2c04d,COMO OREO,7sRXb5IgYWwVv1DaavHSNs,195261,True,https://i.scdn.co/image/ab67616d0000b273844236132a107ce084e53c53
pop,BTS,3Nrfpe0tUJi4K4DXYWgMUX,https://i.scdn.co/image/ab6761610000e5ebf80ec63ea7a0ef0fba60957d,Hooligan,20dAJsyno9ZoBLJtqgQnUI,182046,False,https://i.scdn.co/image/ab67616d0000b273dfa17fad7f190c901603270e
pop,BTS,3Nrfpe0tUJi4K4DXYWgMUX,https://i.scdn.co/image/ab6761610000e5ebf80ec63ea7a0ef0fba60957d,SWIM,68lbSrXDORS51pmyjZv712,159007,False,https://i.scdn.co/image/ab67616d0000b273dfa17fad7f190c901603270e
pop,Peso Pluma,12GqGscKJx3aE4t07u7eVZ,https://i.scdn.co/image/ab6761610000e5ebe5283f5b671cf618b82a2696,daño,136BeIIoBGrrU9fI1jbcDR,197007,True,https://i.scdn.co/image/ab67616d0000b273a9e6a250ea86a8f387873ef9
pop,Peso Pluma,12GqGscKJx3aE4t07u7eVZ,https://i.scdn.co/image/ab6761610000e5ebe5283f5b671cf618b82a2696,NUEVA VIDA,4Nf5EZ40JenjMUKXOiyRU5,190680,True,https://i.scdn.co/image/ab67616d0000b2732fb583ed96f8f35cbf2897ba
pop,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,https://i.scdn.co/image/ab6761610000e5ebc7688aad1bf03986934d7e26,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,233478,False,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46
pop,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,https://i.scdn.co/image/ab6761610000e5ebc7688aad1bf03986934d7e26,Die With A Smile,2plbrEY59IikOBgBGLjaoe,251667,False,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45
pop,Grupo Firme,1dKdetem2xEmjgvyymzytS,https://i.scdn.co/image/ab6761610000e5eb7ab0eb0c8b52f4639b167363,El Beneficio De La Duda,7xJ1scIZpc33lZ7HpcrjCY,245500,False,https://i.scdn.co/image/ab67616d0000b2738632e4c5f46220a7ad2ff6bb
pop,Grupo Firme,1dKdetem2xEmjgvyymzytS,https://i.scdn.co/image/ab6761610000e5eb7ab0eb0c8b52f4639b167363,El Beneficio De La Duda,5yXt80BNZGbmHFd0NHZHNn,245500,False,https://i.scdn.co/image/ab67616d0000b273772ae2eb593cbc19386dd3d9
pop,Taylor Swift,06HL4z0CvFAxyc27GXpf02,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,The Fate of Ophelia,53iuhJlwXhSER5J2IYYv1W,226073,False,https://i.scdn.co/image/ab67616d0000b273d7812467811a7da6e6a44902
pop,Taylor Swift,06HL4z0CvFAxyc27GXpf02,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,Opalite,3yWuTOYDztXjZxdE2cIRUa,235355,False,https://i.scdn.co/image/ab67616d0000b273d7812467811a7da6e6a44902
pop,Morat,5C4PDR4LnhZTbVnKWXuDKD,https://i.scdn.co/image/ab6761610000e5eb40b636d92aa7de0fc068ac77,No Se Va,4khWEpnaijN0G1x019Uzdr,216752,False,https://i.scdn.co/image/ab67616d0000b27390fa215e791c13fe9bacb8bc
pop,Morat,5C4PDR4LnhZTbVnKWXuDKD,https://i.scdn.co/image/ab6761610000e5eb40b636d92aa7de0fc068ac77,Cuando Nadie Ve,71iAechwVKGu26pahzFL0k,219586,False,https://i.scdn.co/image/ab67616d0000b27390fa215e791c13fe9bacb8bc
pop,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,https://i.scdn.co/image/ab6761610000e5eb7c0ac15129ffed0e383958f0,En Privado,2SkB7jADnfiWH8qAE9H8cO,199399,False,https://i.scdn.co/image/ab67616d0000b2735ffe63ab6e8a3f6f5653d188
pop,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,https://i.scdn.co/image/ab6761610000e5eb7c0ac15129ffed0e383958f0,Inglés En Miami,3Y1xjjepdqMP141ipYCAqA,202386,True,https://i.scdn.co/image/ab67616d0000b273932fe6d260177091a0e115ba
rock,Gene Rockwell,10JZkvi2NuyvCIuRDppggx,https://i.scdn.co/image/ab67616d0000b273d6b1abafc5724e017bdef5c0,Always on My Mind,4nH3CL6yPsS10WqjnR2OFE,226312,False,https://i.scdn.co/image/ab67616d0000b273f2303ae725e616b9890718a3
rock,Gene Rockwell,10JZkvi2NuyvCIuRDppggx,https://i.scdn.co/image/ab67616d0000b273d6b1abafc5724e017bdef5c0,Honkytonk Angels (feat. Joanna Field),4Qq3mof1TKgWiRd3jYtxpx,199640,False,https://i.scdn.co/image/ab67616d0000b2734cea6ac9c8a2496b7be09fff
rock,Gene Rockwell,10JZkvi2NuyvCIuRDppggx,https://i.scdn.co/image/ab67616d0000b273d6b1abafc5724e017bdef5c0,Wasted Days and Wasted Nights,6ymvyGUlf6a2cyqLZ1c40e,175813,False,https://i.scdn.co/image/ab67616d0000b2737aa7e0d44f37fe3233202743
rock,Genki Rockets,2BTv9lh3eK1jzB1vc3tW6x,https://i.scdn.co/image/ab6761610000e5ebab823bdd0ee416d0fd95e2ae,Curiosity,6dNnjnM1l7UB70WBkCXPtg,260293,False,https://i.scdn.co/image/ab67616d0000b273e0a197b64f7afedea0b6d702
rock,Genki Rockets,2BTv9lh3eK1jzB1vc3tW6x,https://i.scdn.co/image/ab6761610000e5ebab823bdd0ee416d0fd95e2ae,Wonderland,0SxLPg4IQ04aNI9cwGAS07,268440,False,https://i.scdn.co/image/ab67616d0000b273e0a197b64f7afedea0b6d702
rock,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38,Demons,5qaEfEh1AtSdrdrByCP7qR,177506,False,https://i.scdn.co/image/ab67616d0000b273407bd04707c463bbb3410737
rock,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38,Believer,0pqnGHJpmpxLKifKRmU6WP,204346,False,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a
rock,Queen,1dfeR4HaWDbWqFHLkxsg1d,https://i.scdn.co/image/ab6772690000c46c47488c35a509d42072c23976,Another One Bites The Dust - Remastered 2011,5vdp5UmvTsnMEMESIF2Ym7,214653,False,https://i.scdn.co/image/ab67616d0000b273056e90910cbaf5c5b892aeba
rock,Queen,1dfeR4HaWDbWqFHLkxsg1d,https://i.scdn.co/image/ab6772690000c46c47488c35a509d42072c23976,Don't Stop Me Now - Remastered 2011,5T8EDUDqKcs6OSOwEsfqG7,209413,False,https://i.scdn.co/image/ab67616d0000b2737c39dd133836c2c1c87e34d6
rock,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,https://i.scdn.co/image/ab6761610000e5eb527d95dabbe8b8b527e8136f,In the End,60a0Rd6pjrkxjPbaKzXjfq,216880,False,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
